"BehaviorSpace Table data (NetLogo 4.0beta1)"
""
"Follower Epistemic Significance Summary"
"07/09/2007 22:21:20:451 -0400"

"[run number]","number_of_mavericks","number_of_control","number_of_followers","[tick]","count patches with [visited = true]","count patches with [significance > 0]","(count patches with [(visited = true) and (significance > 0) ] / count patches with [significance > 0])"
"1","0","0","10","200","22","3454","0.0011580775911986102"
"2","0","0","10","200","21","3454","8.685581933989577E-4"
"3","0","0","10","200","68","3454","0.01563404748118124"
"4","0","0","10","200","26","3454","0.0026056745801968733"
"5","0","0","10","200","70","3454","0.016213086276780544"
"6","0","0","10","200","52","3454","0.010422698320787493"
"7","0","0","10","200","26","3454","0.0028951939779965257"
"8","0","0","10","200","20","3454","0"
"9","0","0","10","200","21","3454","8.685581933989577E-4"
"10","0","0","10","200","53","3454","0.011001737116386797"
"11","0","0","10","200","22","3454","0.0011580775911986102"
"12","0","0","10","200","22","3454","0.0017371163867979154"
"13","0","0","10","200","45","3454","0.00781702374059062"
"14","0","0","10","200","19","3454","0"
"15","0","0","10","200","52","3454","0.009843659525188187"
"16","0","0","10","200","20","3454","0"
"17","0","0","10","200","100","3454","0.024898668210770122"
"18","0","0","10","200","20","3454","0"
"19","0","0","10","200","20","3454","0"
"20","0","0","10","200","28","3454","0.003474232773595831"
"21","0","0","10","200","49","3454","0.010712217718587146"
"22","0","0","10","200","23","3454","0.0026056745801968733"
"23","0","0","10","200","54","3454","0.010422698320787493"
"24","0","0","10","200","33","3454","0.004053271569195136"
"25","0","0","10","200","55","3454","0.010712217718587146"
"26","0","0","20","200","119","3454","0.025477707006369428"
"27","0","0","20","200","67","3454","0.00897510133178923"
"28","0","0","20","200","111","3454","0.022292993630573247"
"29","0","0","20","200","106","3454","0.020845396641574986"
"30","0","0","20","200","41","3454","8.685581933989577E-4"
"31","0","0","20","200","129","3454","0.027504342790966994"
"32","0","0","20","200","101","3454","0.020845396641574986"
"33","0","0","20","200","58","3454","0.007527504342790967"
"34","0","0","20","200","40","3454","5.790387955993051E-4"
"35","0","0","20","200","75","3454","0.011870295309785756"
"36","0","0","20","200","86","3454","0.01447596988998263"
"37","0","0","20","200","96","3454","0.01910828025477707"
"38","0","0","20","200","66","3454","0.009264620729588882"
"39","0","0","20","200","41","3454","8.685581933989577E-4"
"40","0","0","20","200","62","3454","0.008106543138390272"
"41","0","0","20","200","83","3454","0.014186450492182976"
"42","0","0","20","200","48","3454","0.003474232773595831"
"43","0","0","20","200","50","3454","0.004632310364794441"
"44","0","0","20","200","177","3454","0.04487550665894615"
"45","0","0","20","200","72","3454","0.011870295309785756"
"46","0","0","20","200","61","3454","0.007527504342790967"
"47","0","0","20","200","72","3454","0.010422698320787493"
"48","0","0","20","200","90","3454","0.01592356687898089"
"49","0","0","20","200","92","3454","0.017081644470179503"
"50","0","0","20","200","89","3454","0.01679212507237985"
"51","0","0","30","200","147","3454","0.0280833815865663"
"52","0","0","30","200","90","3454","0.010712217718587146"
"53","0","0","30","200","101","3454","0.01360741169658367"
"54","0","0","30","200","61","3454","0.0011580775911986102"
"55","0","0","30","200","140","3454","0.02576722640416908"
"56","0","0","30","200","145","3454","0.02692530399536769"
"57","0","0","30","200","69","3454","0.0055008685581933985"
"58","0","0","30","200","62","3454","0.0011580775911986102"
"59","0","0","30","200","148","3454","0.0280833815865663"
"60","0","0","30","200","87","3454","0.010712217718587146"
"61","0","0","30","200","146","3454","0.027504342790966994"
"62","0","0","30","200","122","3454","0.02026635784597568"
"63","0","0","30","200","136","3454","0.026635784597568036"
"64","0","0","30","200","168","3454","0.03532136653155762"
"65","0","0","30","200","103","3454","0.014765489287782282"
"66","0","0","30","200","196","3454","0.04342790966994789"
"67","0","0","30","200","63","3454","0.0028951939779965257"
"68","0","0","30","200","102","3454","0.01447596988998263"
"69","0","0","30","200","111","3454","0.01766068326577881"
"70","0","0","30","200","117","3454","0.019687319050376375"
"71","0","0","30","200","141","3454","0.02605674580196873"
"72","0","0","30","200","166","3454","0.03242617255356109"
"73","0","0","30","200","95","3454","0.012449334105385061"
"74","0","0","30","200","74","3454","0.0055008685581933985"
"75","0","0","30","200","104","3454","0.01563404748118124"
"76","0","0","40","200","193","3454","0.03561088592935727"
"77","0","0","40","200","230","3454","0.04777070063694268"
"78","0","0","40","200","160","3454","0.02721482339316734"
"79","0","0","40","200","207","3454","0.04053271569195136"
"80","0","0","40","200","217","3454","0.04371742906774754"
"81","0","0","40","200","194","3454","0.037348002316155184"
"82","0","0","40","200","151","3454","0.021424435437174292"
"83","0","0","40","200","199","3454","0.03937463810075275"
"84","0","0","40","200","193","3454","0.03676896352055588"
"85","0","0","40","200","176","3454","0.03271569195136074"
"86","0","0","40","200","102","3454","0.008685581933989578"
"87","0","0","40","200","160","3454","0.028662420382165606"
"88","0","0","40","200","107","3454","0.011001737116386797"
"89","0","0","40","200","151","3454","0.024030110017371164"
"90","0","0","40","200","153","3454","0.02692530399536769"
"91","0","0","40","200","215","3454","0.04169079328314997"
"92","0","0","40","200","252","3454","0.05500868558193399"
"93","0","0","40","200","114","3454","0.012449334105385061"
"94","0","0","40","200","109","3454","0.012449334105385061"
"95","0","0","40","200","110","3454","0.010422698320787493"
"96","0","0","40","200","177","3454","0.03271569195136074"
"97","0","0","40","200","177","3454","0.031557614360162134"
"98","0","0","40","200","176","3454","0.03126809496236248"
"99","0","0","40","200","177","3454","0.03387376954255935"
"100","0","0","40","200","192","3454","0.03618992472495657"
"101","0","0","50","200","241","3454","0.0451650260567458"
"102","0","0","50","200","275","3454","0.056745801968731906"
"103","0","0","50","200","171","3454","0.025188187608569775"
"104","0","0","50","200","164","3454","0.022872032426172553"
"105","0","0","50","200","151","3454","0.01795020266357846"
"106","0","0","50","200","190","3454","0.03184713375796178"
"107","0","0","50","200","226","3454","0.041401273885350316"
"108","0","0","50","200","261","3454","0.05211349160393746"
"109","0","0","50","200","131","3454","0.012159814707585408"
"110","0","0","50","200","205","3454","0.03532136653155762"
"111","0","0","50","200","232","3454","0.04661262304574407"
"112","0","0","50","200","195","3454","0.03213665315576143"
"113","0","0","50","200","166","3454","0.024030110017371164"
"114","0","0","50","200","105","3454","0.006369426751592357"
"115","0","0","50","200","191","3454","0.030978575564562825"
"116","0","0","50","200","144","3454","0.019687319050376375"
"117","0","0","50","200","148","3454","0.017371163867979156"
"118","0","0","50","200","165","3454","0.022003474232773594"
"119","0","0","50","200","207","3454","0.03676896352055588"
"120","0","0","50","200","179","3454","0.027793862188766647"
"121","0","0","50","200","169","3454","0.026635784597568036"
"122","0","0","50","200","220","3454","0.041401273885350316"
"123","0","0","50","200","183","3454","0.02895193977996526"
"124","0","0","50","200","110","3454","0.003474232773595831"
"125","0","0","50","200","251","3454","0.04806022003474233"
"126","0","0","60","200","231","3454","0.03705848291835553"
"127","0","0","60","200","177","3454","0.02113491603937464"
"128","0","0","60","200","202","3454","0.03039953676896352"
"129","0","0","60","200","288","3454","0.0561667631731326"
"130","0","0","60","200","207","3454","0.029530978575564564"
"131","0","0","60","200","250","3454","0.04198031268094962"
"132","0","0","60","200","127","3454","0.007527504342790967"
"133","0","0","60","200","250","3454","0.044296467863346844"
"134","0","0","60","200","159","3454","0.01592356687898089"
"135","0","0","60","200","260","3454","0.04661262304574407"
"136","0","0","60","200","236","3454","0.03792704111175449"
